"","country","year","gdp","suicides"
"1","Antigua and Barbuda",1985,3850,0
"2","Argentina",1985,3264,11.2058333333333
"3","Australia",1985,12374,13.6175
"4","Austria",1985,9759,32.0675
"5","Bahamas",1985,11393,0.396666666666667
"6","Bahrain",1985,9980,1.67666666666667
"7","Barbados",1985,6137,5.14333333333333
"8","Belgium",1985,9356,27.67
"9","Brazil",1985,1898,4.93166666666667
"10","Bulgaria",1985,2044,25.26
"11","Canada",1985,15522,13.8716666666667
"12","Chile",1985,1658,9.07583333333333
"13","Colombia",1985,1393,5.21333333333333
"14","Costa Rica",1985,2145,5.78833333333333
"15","Dominica",1985,1485,0
"16","Ecuador",1985,2238,6.87666666666667
"17","France",1985,10765,29.075
"18","Greece",1985,5156,4.8475
"19","Grenada",1985,1965,2.09
"20","Iceland",1985,13357,14.2541666666667
"21","Ireland",1985,6638,8.51333333333333
"22","Israel",1985,7325,9.33583333333333
"23","Italy",1985,8329,11.1166666666667
"24","Jamaica",1985,1032,0.753333333333333
"25","Japan",1985,12401,25.0391666666667
"26","Kuwait",1985,14607,0.933333333333333
"27","Luxembourg",1985,13743,20.6158333333333
"28","Malta",1985,3639,0.73
"29","Mauritius",1985,1223,11.9275
"30","Mexico",1985,2730,3.18083333333333
"31","Netherlands",1985,10428,13.3241666666667
"32","New Zealand",1985,8246,12.8033333333333
"33","Panama",1985,3443,4.255
"34","Paraguay",1985,964,3.285
"35","Portugal",1985,2912,13.735
"36","Puerto Rico",1985,6582,12.8841666666667
"37","Republic of Korea",1985,2731,12.2208333333333
"38","Saint Vincent and Grenadines",1985,1622,2.7325
"39","Seychelles",1985,2947,13.015
"40","Singapore",1985,8142,29.4466666666667
"41","Spain",1985,5009,9.5775
"42","Sri Lanka",1985,431,46.56
"43","Suriname",1985,2706,39.2366666666667
"44","Thailand",1985,840,6.87833333333333
"45","Trinidad and Tobago",1985,7317,2.51416666666667
"46","United Kingdom",1985,9231,9.70416666666667
"47","United States",1985,19693,15.3933333333333
"48","Uruguay",1985,1729,14.8841666666667
"49","Antigua and Barbuda",1986,4740,0
"50","Argentina",1986,4072,12.7416666666667
"51","Australia",1986,12288,14.6491666666667
"52","Austria",1986,13911,33.4833333333333
"53","Barbados",1986,6720,3.06083333333333
"54","Belgium",1986,12992,26.2241666666667
"55","Belize",1986,1552,1.61416666666667
"56","Brazil",1986,2257,4.76333333333333
"57","Bulgaria",1986,2413,22.9566666666667
"58","Canada",1986,16062,15.8425
"59","Chile",1986,1728,7.57833333333333
"60","Colombia",1986,1366,4.17583333333333
"61","Costa Rica",1986,2389,7.48666666666667
"62","Ecuador",1986,1943,6.37833333333333
"63","France",1986,14940,29.3141666666667
"64","Greece",1986,6040,5.10083333333333
"65","Guatemala",1986,1044,3.57
"66","Iceland",1986,17681,17.925
"67","Ireland",1986,8937,8.74
"68","Israel",1986,8938,10.8566666666667
"69","Italy",1986,11762,10.9208333333333
"70","Jamaica",1986,1342,0.0475
"71","Japan",1986,18288,26.9625
"72","Kuwait",1986,11661,0.728333333333333
"73","Luxembourg",1986,20004,15.2541666666667
"74","Malta",1986,4544,0.300833333333333
"75","Mauritius",1986,1636,2.50583333333333
"76","Mexico",1986,1873,3.81166666666667
"77","Netherlands",1986,14479,13.19
"78","New Zealand",1986,10114,14.8891666666667
"79","Norway",1986,20117,13.635
"80","Panama",1986,3504,5.07583333333333
"81","Paraguay",1986,1086,2.23
"82","Portugal",1986,4145,13.7941666666667
"83","Puerto Rico",1986,7002,14.8525
"84","Republic of Korea",1986,3078,11.9425
"85","Saint Lucia",1986,2634,4.99583333333333
"86","Saint Vincent and Grenadines",1986,1771,0
